triplet_id	rank	assigned_category	n_significant	significant_tests	signature	cluster	k_mer_q	positional_q	bpe_boundary_q	attention_sink_q	high_norm_q	attention_r	hidden_norm_r	kmer_best_k	kmer_mi_nats	positional_ks
T023	23	k-mer	3	k-mer;positional;attention-sink	k-mer+positional+attention-sink	attention-sink subset	0.0014608080575097065	0.0014608080575097065	1.0	0.0014608080575097065	1.0	0.8852982707547168	-0.7119863531757665	3	0.011278677747980366	0.9825581386685371
T024	24	positional	2	positional;high-norm	positional+high-norm	positional+high-norm	0.14289884760590002	0.0014608080575097065	1.0	0.3375130616509927	0.0014608080575097065	0.0033790164439188412	0.06169318930266583	3	0.008306423651699563	0.38492447197437285
T025	25	k-mer	3	k-mer;positional;attention-sink	k-mer+positional+attention-sink	attention-sink subset	0.0014608080575097065	0.0014608080575097065	0.573543873224678	0.0014608080575097065	1.0	0.07940065103150147	-0.03801402433424618	3	0.011092645780509064	0.2556903862953186
T026	26	positional	2	positional;high-norm	positional+high-norm	positional+high-norm	0.6494752623688156	0.0014608080575097065	1.0	1.0	0.0014608080575097065	-0.01429910305061316	0.02066453058835134	3	0.008061994458607754	0.32264047622680664
T027	27	k-mer	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.0014608080575097065	0.0014608080575097065	0.363151757454606	1.0	0.007211584081377034	-0.004981753466240445	0.009436458952655371	5	0.014344037199857286	0.34624999046325683
T028	28	k-mer	2	k-mer;positional	k-mer+positional	kmer-dominant mixed	0.0014608080575097065	0.0014608080575097065	0.6887709991158267	1.0	1.0	-0.00027032541073254257	-0.00044443106465262837	5	0.014399488974301409	0.23964981257915496
T029	29	positional	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.023471410362234612	0.0014608080575097065	1.0	1.0	0.0014608080575097065	-0.004179365043567512	0.017144580338722147	5	0.014260859538190528	0.3195433747768402
T030	30	k-mer	2	k-mer;positional	k-mer+positional	kmer-dominant mixed	0.0027927212864156154	0.011303871873587017	0.4795501408959386	1.0	0.5548052420070956	-0.008671373040345222	0.0017205461444529673	5	0.014371763087078134	0.16341708183288575
T031	31	positional	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.007211584081377034	0.0014608080575097065	0.6728276486756621	1.0	0.0014608080575097065	-0.0035507979863214087	0.020307747881328716	5	0.01430584634976092	0.551150438785553
T032	32	positional	1	positional	positional	positional-only	0.17407962685324005	0.025320672996834916	0.667658296835834	1.0	0.05959786064414601	-0.0026436970120376486	0.005943888812000668	5	0.014093551585827948	0.15743190675973895
T033	33	k-mer	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.0014608080575097065	0.0014608080575097065	1.0	1.0	0.0014608080575097065	-0.00041614564648815775	0.012514761943931188	3	0.00929668752879556	0.32696969389915465
T034	34	k-mer	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.0014608080575097065	0.0014608080575097065	1.0	0.26622202917232973	0.0014608080575097065	0.00439089192128661	0.08742197147425182	3	0.008701326413015416	0.5732981485128402
T035	35	positional	2	positional;high-norm	positional+high-norm	positional+high-norm	1.0	0.0014608080575097065	1.0	1.0	0.0014608080575097065	-0.0024431172121198055	0.019283803863750462	5	0.013672049837383368	0.2249350583553314
T036	36	positional	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.009263660852500579	0.0014608080575097065	1.0	1.0	0.003902158509786203	-0.0028586323535090305	0.016188317925716532	5	0.014288585425414689	0.43272728085517886
T037	37	unknown	0	none	none	unknown	0.26622202917232973	0.3603109159705861	0.7874634111515671	1.0	1.0	-0.0028366724454680177	-0.0010733248868358947	5	0.014058398745251974	0.10607030391693117
T038	38	k-mer	2	k-mer;high-norm	k-mer+high-norm	kmer-dominant mixed	0.0014608080575097065	0.23555529927344024	1.0	1.0	0.0014608080575097065	-0.005353687135106884	0.049410203391924076	3	0.011732009219766134	0.11426830649375913
